3.924880,7.363412,7.073915,D
7.739460,6.453360,8.066205,A
6.379217,9.061654,9.002781,F
6.397573,7.974984,6.075531,C
5.764744,7.421517,6.282761,C
9.138295,8.675697,8.947702,B
4.811593,6.730988,6.469683,D
5.189073,6.582152,8.356661,A
5.012552,8.219790,8.390992,F
3.894978,8.661010,7.835112,F
7.119228,7.412406,7.547379,C
8.775777,8.302871,9.366378,E
7.238330,7.705394,7.265965,C
6.862501,7.904759,8.723841,E
6.922217,6.262191,8.446487,A
7.172598,6.400599,7.883062,A
7.064098,6.829678,8.458704,A
6.575801,7.847759,8.440810,F
5.227711,6.352835,7.023711,D
9.224716,9.655787,8.806038,B
5.022727,8.075476,7.923591,F
6.386305,8.088024,6.530040,C
8.572316,7.095323,7.903844,B
3.694250,6.911933,6.476613,D
6.788604,8.013268,8.332471,F
5.811891,5.639476,7.134148,A
9.711864,9.323920,8.104388,B
4.523509,8.130132,8.526008,F
9.291631,8.334110,8.436203,B
7.164367,6.651446,6.726860,C
8.338475,8.519083,10.831825,E
6.707531,8.273762,9.341167,E
8.114685,7.871035,7.008185,C
6.262680,5.971172,9.000956,A
7.805291,6.702795,10.837412,E
6.880110,7.718525,8.632241,E
5.088093,6.201052,9.897561,A
5.892325,8.080326,8.924892,F
7.124028,9.298755,8.564893,E
6.464966,7.007303,9.733155,A
4.717151,5.300510,8.145370,D
6.378744,7.865816,8.275368,F
6.732183,7.482915,9.704885,E
5.942471,7.544753,7.365640,C
5.597752,7.916052,5.240860,C
3.719285,6.551261,6.020708,D
4.072833,5.466635,5.323960,D
5.231603,7.049797,6.731713,D
8.517306,9.712670,11.042459,E
6.385908,5.751287,7.362504,A
8.074658,9.915629,8.075873,B
6.467492,6.618940,6.071086,C
8.957751,9.590223,7.904623,B
8.955154,8.148002,7.253174,B
7.377652,8.092719,7.451595,C
6.262160,10.280922,8.402313,F
6.280213,6.927824,7.908138,A
6.285247,6.891320,6.792114,C
9.037081,7.524138,9.879971,E
6.951264,6.318506,9.655461,A
6.893081,8.131498,8.997756,E
8.343010,6.023414,10.560145,E
3.914550,6.625662,8.454741,D
7.548905,8.683681,8.457660,E
6.577542,7.637097,6.688779,C
6.321644,5.963100,7.690253,A
5.339843,6.861366,8.736392,F
6.331019,7.632886,8.539717,F
3.221518,5.589810,7.118744,D
4.930584,8.302911,8.212170,F
7.842698,8.109387,9.299391,E
5.180164,6.529402,5.698506,D
7.253338,7.209704,6.830868,C
7.325693,6.719657,7.952318,A
9.249934,9.689550,8.391223,B
7.902283,10.548134,7.144325,B
5.778771,7.130872,7.865512,F
7.118312,7.883151,10.855589,E
8.964753,8.142877,8.061385,B
7.513667,7.626582,8.190157,E
6.876879,7.411881,7.355798,C
5.580257,7.338586,6.911875,C
10.050179,8.990781,8.356989,B
8.295831,7.880854,10.772713,E
6.505904,7.824802,6.966341,C
3.743357,7.024255,5.530484,D
5.667361,7.090658,6.939987,C
8.678167,8.700833,6.682321,B
7.573477,8.576643,8.131396,E
6.708897,8.305789,7.248754,C
